Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
1000         | 65           | 96           | List         | 0,047500 ms          | 0,071400 ms          | 0,533200 ms          | 0,461800 ms         Lineært søk 1,50 ganger raskere. Med sortering: Lineært søk 11,23 ganger raskere.
1000         | 410          | 648          | List         | 0,001300 ms          | 0,000200 ms          | 0,234700 ms          | 0,234500 ms         Binært søk 6,50 ganger raskere. Med sortering: Lineært søk 180,54 ganger raskere.
1000         | 508          | 252          | List         | 0,001400 ms          | 0,000200 ms          | 0,232400 ms          | 0,232200 ms         Binært søk 7,00 ganger raskere. Med sortering: Lineært søk 166,00 ganger raskere.
1000         | Nonexistent  | Nonexistent  | List         | 0,002500 ms          | 0,000100 ms          | 0,273700 ms          | 0,273600 ms         Binært søk 25,00 ganger raskere. Med sortering: Lineært søk 109,48 ganger raskere.
1000         | Nonexistent  | Nonexistent  | List         | 0,002600 ms          | 0,000200 ms          | 0,236200 ms          | 0,236000 ms         Binært søk 13,00 ganger raskere. Med sortering: Lineært søk 90,85 ganger raskere.
1000         | Nonexistent  | Nonexistent  | List         | 0,002500 ms          | 0,000100 ms          | 0,277100 ms          | 0,277000 ms         Binært søk 25,00 ganger raskere. Med sortering: Lineært søk 110,84 ganger raskere.
10000        | 5025         | 1806         | List         | 0,012500 ms          | 0,000400 ms          | 2,791100 ms          | 2,790700 ms         Binært søk 31,25 ganger raskere. Med sortering: Lineært søk 223,29 ganger raskere.
10000        | 2723         | 8792         | List         | 0,006700 ms          | 0,000200 ms          | 2,726900 ms          | 2,726700 ms         Binært søk 33,50 ganger raskere. Med sortering: Lineært søk 407,00 ganger raskere.
10000        | 8733         | 8289         | List         | 0,021400 ms          | 0,000200 ms          | 1,858600 ms          | 1,858400 ms         Binært søk 107,00 ganger raskere. Med sortering: Lineært søk 86,85 ganger raskere.
10000        | Nonexistent  | Nonexistent  | List         | 0,033900 ms          | 0,000200 ms          | 1,941300 ms          | 1,941100 ms         Binært søk 169,50 ganger raskere. Med sortering: Lineært søk 57,27 ganger raskere.
10000        | Nonexistent  | Nonexistent  | List         | 0,024500 ms          | 0,000200 ms          | 2,331400 ms          | 2,331200 ms         Binært søk 122,50 ganger raskere. Med sortering: Lineært søk 95,16 ganger raskere.
10000        | Nonexistent  | Nonexistent  | List         | 0,030300 ms          | 0,000200 ms          | 2,141900 ms          | 2,141700 ms         Binært søk 151,50 ganger raskere. Med sortering: Lineært søk 70,69 ganger raskere.
100000       | 86184        | 19679        | List         | 0,210200 ms          | 0,000400 ms          | 29,698000 ms         | 29,697600 ms        Binært søk 525,50 ganger raskere. Med sortering: Lineært søk 141,28 ganger raskere.
100000       | 13625        | 97385        | List         | 0,042000 ms          | 0,000300 ms          | 31,879700 ms         | 31,879400 ms        Binært søk 140,00 ganger raskere. Med sortering: Lineært søk 759,04 ganger raskere.
100000       | 2302         | 54106        | List         | 0,007600 ms          | 0,000700 ms          | 30,279700 ms         | 30,279000 ms        Binært søk 10,86 ganger raskere. Med sortering: Lineært søk 3984,17 ganger raskere.
100000       | Nonexistent  | Nonexistent  | List         | 0,451300 ms          | 0,000300 ms          | 35,594100 ms         | 35,593800 ms        Binært søk 1504,33 ganger raskere. Med sortering: Lineært søk 78,87 ganger raskere.
100000       | Nonexistent  | Nonexistent  | List         | 0,270200 ms          | 0,000200 ms          | 28,065800 ms         | 28,065600 ms        Binært søk 1351,00 ganger raskere. Med sortering: Lineært søk 103,87 ganger raskere.
100000       | Nonexistent  | Nonexistent  | List         | 0,250300 ms          | 0,000200 ms          | 28,888100 ms         | 28,887900 ms        Binært søk 1251,50 ganger raskere. Med sortering: Lineært søk 115,41 ganger raskere.
1000000      | 348738       | 17362        | List         | 0,851300 ms          | 0,001100 ms          | 300,025200 ms        | 300,024100 ms       Binært søk 773,91 ganger raskere. Med sortering: Lineært søk 352,43 ganger raskere.
1000000      | 831326       | 938817       | List         | 2,032500 ms          | 0,000400 ms          | 280,933000 ms        | 280,932600 ms       Binært søk 5081,25 ganger raskere. Med sortering: Lineært søk 138,22 ganger raskere.
